Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
,,23/01/2020,B,IFM,471,2.100,10.00,999.10,28/01/2020,Confirmed,
,,23/01/2020,B,BVS,170,5.850,10.00,1004.50,28/01/2020,Confirmed,
,,23/01/2020,B,AVH,1369,0.700,10.00,968.30,28/01/2020,Confirmed,
,,23/01/2020,B,AEF,181,5.500,10.00,1005.50,28/01/2020,Confirmed,
,,23/01/2020,B,EML,191,5.210,10.00,1005.11,28/01/2020,Confirmed,
,,22/01/2020,B,VGL,270,3.650,10.00,995.50,24/01/2020,Confirmed,
,,22/01/2020,B,VHT,534,1.830,10.00,987.22,24/01/2020,Confirmed,
,,22/01/2020,B,OCL,153,6.500,10.00,1004.50,24/01/2020,Confirmed,
,,22/01/2020,B,CAT,500,1.995,10.00,1007.50,24/01/2020,Confirmed,
,,22/01/2020,B,MNF,198,5.04,10.00,1007.92,21/01/2020,Confirmed,
,,21/01/2020,B,PBP,495,2.020,10.00,1009.90,23/01/2020,Confirmed,
,,21/01/2020,B,MAI,1449,0.690,10.00,1009.81,23/01/2020,Confirmed,
,,21/01/2020,B,KME,657,1.510,10.00,1002.07,23/01/2020,Confirmed,
,,21/01/2020,B,ALC,4444,0.220,10.00,987.68,23/01/2020,Confirmed,
,,21/01/2020,B,AMS,684,1.460,10.00,1008.64,23/01/2020,Confirmed,
,,17/01/2020,B,FDV,1204,0.830,10.00,1009.32,21/01/2020,Confirmed,
,,17/01/2020,B,ELO,150,6.600,10.00,1000.00,21/01/2020,Confirmed,
,,17/01/2020,B,JIN,62,16.010,10.00,1002.62,21/01/2020,Confirmed,
,,17/01/2020,B,MP1,88,10.890,10.00,968.32,21/01/2020,Confirmed,
,,17/01/2020,B,TPW,303,3.270,10.00,1000.81,21/01/2020,Confirmed,

