Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
94342070,N113368658,18/12/2019,B,BVS,190,5.250,10.00,1007.50,20/12/2019,Confirmed,
94149044,N113122800,6/12/2019,B,NEA,377,2.650,10.00,1009.05,10/12/2019,Confirmed,
94148901,N113122755,6/12/2019,B,AD8,111,8.940,10.00,1002.34,10/12/2019,Confirmed,
93389254,N112157420,29/10/2019,B,WEB,86,11.609,10.00,1008.40,31/10/2019,Confirmed,
93030295,N111691888,9/10/2019,B,NEA,389,2.570,10.00,1009.73,11/10/2019,Confirmed,
92510222,N111005441,12/09/2019,B,VVA,523,1.910,10.00,1008.93,16/09/2019,Confirmed,
91728798,N109994741,7/08/2019,B,LVT,2197,0.455,10.00,1009.64,9/08/2019,Confirmed,
91712557,N109975907,7/08/2019,B,NEA,320,3.120,10.00,1008.40,9/08/2019,Confirmed,
91637760,N109881805,5/08/2019,B,AD8,143,6.970,10.00,1006.71,7/08/2019,Confirmed,
91637912,N109881947,5/08/2019,B,STG,500,2.000,10.00,1010.00,7/08/2019,Confirmed,
91637313,N109881393,5/08/2019,B,PBH,297,3.360,10.00,1007.92,7/08/2019,Confirmed,
91637432,N109881514,5/08/2019,B,SKO,266,3.750,10.00,1007.50,7/08/2019,Confirmed,
91637572,N109881666,5/08/2019,B,BUB,800,1.245,10.00,1006.00,7/08/2019,Confirmed,
91637671,N109881750,5/08/2019,B,MVP,185,5.389,10.00,1007.01,7/08/2019,Confirmed,
91638027,N109882075,5/08/2019,B,PPH,311,3.195,10.00,1003.65,7/08/2019,Confirmed,
91637530,N109881601,5/08/2019,B,EML,328,3.030,10.00,1003.84,7/08/2019,Confirmed,
88179445,N105416219,30/01/2019,B,NDQ,185,16.170,19.95,3011.40,1/02/2019,Confirmed,
88179317,N105416033,30/01/2019,B,PPS,4545,0.655,19.95,2997.14,1/02/2019,Confirmed,
