Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
87187624,N104126114,14/11/2018,B,ALU,134,22.260,19.95,3002.81,16/11/2018,Confirmed,
87187575,N104126064,14/11/2018,B,ADH,1796,1.666,19.95,3011.61,16/11/2018,Confirmed,
85715268,N102227390,23/08/2018,B,ARQ,1351,2.190,19.95,2978.64,27/08/2018,Confirmed,
85249429,N101628823,26/07/2018,B,BAL,252,11.880,19.95,3013.71,30/07/2018,Confirmed,
83079511,N98831391,13/03/2018,B,CLH,2307,1.300,19.95,3019.05,15/03/2018,Confirmed,
83052359,N98796579,12/03/2018,S,WEB,279,12.300,19.95,3411.75,14/03/2018,Confirmed,
83052305,N98796517,12/03/2018,S,SIQ,225,10.850,19.95,2421.30,14/03/2018,Confirmed,
83052270,N98796468,12/03/2018,S,REA,38,81.687,19.95,3084.17,14/03/2018,Confirmed,
83052261,N98796411,12/03/2018,S,PMV,164,13.920,19.95,2262.93,14/03/2018,Confirmed,
83052348,N98796362,12/03/2018,S,PME,466,8.570,19.95,3973.67,14/03/2018,Confirmed,
83052395,N98796297,12/03/2018,S,NCK,363,6.871,19.95,2474.26,14/03/2018,Confirmed,
83052088,N98796247,12/03/2018,S,MNF,345,5.400,19.95,1843.05,14/03/2018,Confirmed,
83052041,N98796187,12/03/2018,S,MFG,88,25.990,19.95,2267.17,14/03/2018,Confirmed,
83051995,N98796130,12/03/2018,S,IRI,701,3.970,19.95,2763.02,14/03/2018,Confirmed,
83051932,N98796036,12/03/2018,S,CTD,118,24.960,19.95,2925.33,14/03/2018,Confirmed,
83051909,N98795960,12/03/2018,S,APX,265,9.810,19.95,2579.70,14/03/2018,Confirmed,
83051900,N98795608,12/03/2018,S,VGAD,158,65.950,29.95,10390.15,14/03/2018,Confirmed,
83051822,N98795892,12/03/2018,S,ANZ,65,28.760,19.95,1849.45,14/03/2018,Confirmed,
83051764,N98795825,12/03/2018,S,ALL,102,24.993,19.95,2529.30,14/03/2018,Confirmed,
83051715,N98795765,12/03/2018,S,A2M,173,12.900,19.95,2211.75,14/03/2018,Confirmed,
83051575,N98795559,12/03/2018,S,IOO,88,120.940,29.95,10612.77,14/03/2018,Confirmed,
83051507,N98795494,12/03/2018,B,VGS,149,67.100,19.95,10017.85,14/03/2018,Confirmed,
83026918,N98759318,9/03/2018,S,DMP,106,43.780,19.95,4620.73,13/03/2018,Confirmed,
83026424,N98758817,9/03/2018,B,VAS,227,76.820,29.95,17468.09,13/03/2018,Confirmed,
83026211,N98758567,9/03/2018,S,WLE,4310,1.155,19.95,4958.10,13/03/2018,Confirmed,
83026040,N98758003,9/03/2018,B,VSO,135,55.540,19.95,7517.85,13/03/2018,Confirmed,
83025907,N98758114,9/03/2018,S,WAM,3971,2.470,19.95,9788.42,13/03/2018,Confirmed,
83025721,N98757830,9/03/2018,S,ARG,1272,8.120,29.95,10298.69,13/03/2018,Confirmed,
83024583,N98756336,9/03/2018,S,WAX,6092,1.570,19.95,9544.49,13/03/2018,Confirmed,
83023362,N98754758,9/03/2018,S,WMI,7299,1.480,29.95,10772.57,13/03/2018,Confirmed,
82980318,N98696644,7/03/2018,S,IPH,917,3.235,19.95,2946.55,9/03/2018,Confirmed,
82717722,N98357415,22/02/2018,S,A2M,385,13.095,19.95,5021.63,26/02/2018,Confirmed,
82596298,N98195085,15/02/2018,S,WEB,924,9.745,19.95,8984.43,19/02/2018,Confirmed,
82587655,N98182724,15/02/2018,S,WAX,3267,1.530,19.95,4978.56,19/02/2018,Confirmed,
82586156,N98182528,15/02/2018,S,WAM,2032,2.460,19.95,4978.77,19/02/2018,Confirmed,
82585880,N98182288,15/02/2018,S,APX,597,8.370,19.95,4977.09,19/02/2018,Confirmed,
82574183,N98165064,14/02/2018,S,CTD,237,21.020,19.95,4961.79,16/02/2018,Confirmed,
82506067,N98076672,12/02/2018,S,BKL,43,153.990,19.95,6601.62,14/02/2018,Confirmed,
82228827,N97709275,1/02/2018,S,SRX,354,27.540,19.95,9729.21,5/02/2018,Confirmed,
81820790,N97181801,11/01/2018,S,OFX,3067,1.421,0.00,4357.17,15/01/2018,Confirmed,
81391156,N96620875,19/12/2017,S,RFG,1075,2.075,0.00,2230.63,21/12/2017,Confirmed,
81167339,N96327680,7/12/2017,B,SIQ,502,9.900,19.95,4989.75,11/12/2017,Confirmed,
81135149,N96284704,6/12/2017,B,CTD,250,19.980,19.95,5014.95,8/12/2017,Confirmed,
80913666,N96000771,27/11/2017,B,WEB,534,9.369,19.95,5022.97,29/11/2017,Confirmed,
80566212,N95539735,10/11/2017,B,WEB,440,11.360,19.95,5018.35,14/11/2017,Confirmed,
80505991,N95458557,8/11/2017,B,WAX,3225,1.550,19.95,5018.70,10/11/2017,Confirmed,
80450278,N95388802,7/11/2017,B,RFG,1075,4.640,19.95,5007.95,9/11/2017,Confirmed,
80415017,N95343496,6/11/2017,B,WLE,4310,1.160,19.95,5019.55,8/11/2017,Confirmed,
80413590,N95341778,6/11/2017,B,WAM,2066,2.415,19.95,5009.34,8/11/2017,Confirmed,
80253204,N95130702,30/10/2017,S,NHF,885,6.295,19.95,5551.13,1/11/2017,Confirmed,
79980057,N94773810,16/10/2017,B,VGAD,158,63.060,19.95,9983.43,18/10/2017,Confirmed,
79973566,N94766047,16/10/2017,B,WMI,7299,1.370,19.95,10019.58,18/10/2017,Confirmed,
79952247,N94735937,13/10/2017,B,IPH,917,5.450,19.95,5017.60,17/10/2017,Confirmed,
79916108,N94689711,12/10/2017,B,DMP,106,46.860,19.95,4987.11,16/10/2017,Confirmed,
79916026,N94689732,12/10/2017,B,MNF,902,5.540,19.95,5017.03,16/10/2017,Confirmed,
