Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
101619747,N123140380,17/06/2020,S,ALC,8888,0.170,19.95,1491.01,19/06/2020,Confirmed,
95785115,N115189523,27/02/2020,S,CBA,25,84.130,19.95,2083.30,2/03/2020,Confirmed,
80415128,N95343577,6/11/2017,B,WLE,862,1.160,10.00,1009.92,8/11/2017,Confirmed,
80413699,N95341970,6/11/2017,B,WAM,413,2.415,10.00,1007.40,8/11/2017,Confirmed,
79777639,N94508026,4/10/2017,B,WEB,474,10.540,19.95,5015.91,6/10/2017,Confirmed,
79777681,N94508068,4/10/2017,B,A2M,791,6.320,19.95,5019.07,6/10/2017,Confirmed,
79778618,N94508263,4/10/2017,B,CTD,226,22.060,19.95,5005.51,6/10/2017,Confirmed,
79777762,N94508151,4/10/2017,B,APX,938,5.330,19.95,5019.49,6/10/2017,Confirmed,
79777816,N94508197,4/10/2017,B,BKL,43,116.000,19.95,5007.95,6/10/2017,Confirmed,
79777728,N94508125,4/10/2017,B,IRI,1453,3.440,19.95,5018.27,6/10/2017,Confirmed,
79778181,N94508300,4/10/2017,B,MFG,204,24.470,19.95,5011.83,6/10/2017,Confirmed,
79777929,N94508231,4/10/2017,B,REA,75,65.910,19.95,4963.20,6/10/2017,Confirmed,
79778166,N94508532,4/10/2017,B,NCK,798,6.260,19.95,5015.43,6/10/2017,Confirmed,
79778087,N94508464,4/10/2017,B,OFX,3067,1.630,19.95,5019.16,6/10/2017,Confirmed,
79778716,N94509064,4/10/2017,B,PME,816,6.120,19.95,5013.87,6/10/2017,Confirmed,
79778672,N94509021,4/10/2017,B,ANZ,170,29.290,19.95,4999.25,6/10/2017,Confirmed,
79778036,N94508414,4/10/2017,B,SRX,354,14.090,19.95,5007.81,6/10/2017,Confirmed,
79757029,N94480600,3/10/2017,B,ARG,1272,7.860,19.95,10017.87,5/10/2017,Confirmed,
79756013,N94479607,3/10/2017,B,VAP,128,77.590,19.95,9951.47,5/10/2017,Confirmed,
79755975,N94479562,3/10/2017,B,IOO,88,113.380,19.95,9997.39,5/10/2017,Confirmed,
79755899,N94479461,3/10/2017,B,WAX,6134,1.628,19.95,10005.45,5/10/2017,Confirmed,
79755862,N94479428,3/10/2017,B,WAM,3937,2.540,19.95,10019.93,5/10/2017,Confirmed,

