Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
79541480,N94204299,19/09/2017,S,WEB,1909,11.605,29.95,22124.00,21/09/2017,Confirmed,
79541435,N94204227,19/09/2017,S,RFG,1145,4.461,19.95,5088.03,21/09/2017,Confirmed,
79541389,N94204167,19/09/2017,S,OFX,2846,1.815,19.95,5144.34,21/09/2017,Confirmed,
79541359,N94204124,19/09/2017,S,MNF,1580,5.189,19.95,8178.73,21/09/2017,Confirmed,
79541321,N94204073,19/09/2017,S,IRI,3030,3.295,19.95,9963.90,21/09/2017,Confirmed,
79541292,N94204026,19/09/2017,S,EVT,453,12.560,19.95,5669.73,21/09/2017,Confirmed,
79541262,N94203977,19/09/2017,S,CTD,473,21.259,29.95,10025.52,21/09/2017,Confirmed,
79541229,N94203936,19/09/2017,S,BTT,495,10.940,19.95,5395.51,21/09/2017,Confirmed,
79541203,N94203902,19/09/2017,S,BKL,50,116.225,19.95,5791.30,21/09/2017,Confirmed,
79541148,N94203828,19/09/2017,S,BAP,905,5.330,19.95,4803.70,21/09/2017,Confirmed,
79541125,N94203786,19/09/2017,S,ANZ,209,30.320,19.95,6316.93,21/09/2017,Confirmed,
79541097,N94203747,19/09/2017,S,ALU,955,10.532,29.95,10027.77,21/09/2017,Confirmed,
79522449,N94179207,18/09/2017,S,IPH,1836,4.667,19.95,8548.95,20/09/2017,Confirmed,
79521889,N94178653,18/09/2017,S,CBA,83,76.960,19.95,6367.73,20/09/2017,Confirmed,
79521803,N94178541,18/09/2017,S,CSL,27,131.704,19.95,3536.07,20/09/2017,Confirmed,
79521583,N94178273,18/09/2017,S,DMP,82,43.848,19.95,3575.55,20/09/2017,Confirmed,
79521482,N94178150,18/09/2017,S,CCP,493,19.016,19.95,9355.15,20/09/2017,Confirmed,
79522293,N94177917,18/09/2017,S,NHF,1075,5.700,19.95,6107.55,20/09/2017,Confirmed,
79521143,N94177668,18/09/2017,S,PMV,747,13.410,29.95,9987.33,20/09/2017,Confirmed,
79520982,N94177414,18/09/2017,S,RMD,645,9.940,19.95,6391.35,20/09/2017,Confirmed,
79520772,N94177146,18/09/2017,S,FPH,538,11.480,19.95,6156.08,20/09/2017,Confirmed,
79520561,N94176846,18/09/2017,S,SIQ,860,9.126,19.95,7828.82,20/09/2017,Confirmed,
79520499,N94176743,18/09/2017,S,IRI,2395,3.290,19.95,7859.60,20/09/2017,Confirmed,
79520431,N94176639,18/09/2017,S,CTD,660,21.155,29.95,13932.35,20/09/2017,Confirmed,
79520326,N94176516,18/09/2017,S,ALU,988,10.465,29.95,10309.07,20/09/2017,Confirmed,
79520256,N94176424,18/09/2017,S,NCK,1047,6.509,19.95,6794.86,20/09/2017,Confirmed,
79519627,N94175624,18/09/2017,S,API,4654,1.500,19.95,6961.05,20/09/2017,Confirmed,
79519458,N94175482,18/09/2017,S,SRX,520,14.602,19.95,7573.04,20/09/2017,Confirmed,
79519288,N94175349,18/09/2017,S,NST,1244,4.995,19.95,6193.83,20/09/2017,Confirmed,
79519190,N94175216,18/09/2017,S,TGA,4860,1.215,19.95,5884.95,20/09/2017,Confirmed,
79519007,N94175061,18/09/2017,S,RCG,9709,0.741,19.95,7173.99,20/09/2017,Confirmed,
79518893,N94174914,18/09/2017,S,VTG,928,1.600,19.95,1464.85,20/09/2017,Confirmed,
79518833,N94174837,18/09/2017,S,VOC,1178,2.420,19.95,2830.81,20/09/2017,Confirmed,
79518785,N94174754,18/09/2017,S,TPM,264,5.190,19.95,1350.21,20/09/2017,Confirmed,
79518720,N94174667,18/09/2017,S,SGF,1098,4.020,19.95,4394.53,20/09/2017,Confirmed,
79518593,N94174493,18/09/2017,S,GBT,984,1.900,19.95,1849.95,20/09/2017,Confirmed,
79518464,N94174340,18/09/2017,S,SGH,510,0.077,10.00,29.27,20/09/2017,Confirmed,
77038227,N90988598,28/03/2017,B,NST,728,4.120,19.95,3019.31,30/03/2017,Confirmed,
77020610,N90966207,27/03/2017,S,CYB,18,4.340,19.95,58.17,29/03/2017,Confirmed,
76996848,N90934294,24/03/2017,B,NCK,416,7.196,19.95,3013.53,28/03/2017,Confirmed,
76952127,N90875816,22/03/2017,B,IPH,626,4.791,19.95,3019.18,24/03/2017,Confirmed,
76949965,N90873036,22/03/2017,B,RCG,4901,1.020,19.95,5018.97,24/03/2017,Confirmed,
76949272,N90871997,22/03/2017,S,SEK,311,15.490,19.95,4797.44,24/03/2017,Confirmed,
76942712,N90863010,21/03/2017,S,REA,121,57.120,19.95,6891.57,23/03/2017,Confirmed,
76706091,N90550823,7/03/2017,S,BAL,608,4.130,19.95,2491.09,9/03/2017,Confirmed,
76705808,N90550433,7/03/2017,S,ISD,967,1.550,19.95,1478.90,9/03/2017,Confirmed,
76077020,N89736543,27/01/2017,B,VTG,928,3.231,19.95,3018.15,31/01/2017,Confirmed,
76076639,N89736034,27/01/2017,B,DMP,82,60.804,19.95,5005.90,31/01/2017,Confirmed,
76076234,N89735530,27/01/2017,S,ONT,422,7.510,19.95,3149.27,31/01/2017,Confirmed,
76070777,N89728797,27/01/2017,B,BAP,905,5.520,19.95,5015.55,31/01/2017,Confirmed,
76070354,N89728234,27/01/2017,S,EPW,1700,1.260,19.95,2122.05,31/01/2017,Confirmed,
76070202,N89728062,27/01/2017,S,GEM,1656,3.613,19.95,5962.97,31/01/2017,Confirmed,
75695634,N89240581,29/12/2016,S,MMS,145,10.820,19.95,1548.95,3/01/2017,Confirmed,
74120432,N87210061,15/09/2016,B,BKL,22,115.540,19.95,2561.83,19/09/2016,Confirmed,
74120341,N87209946,15/09/2016,B,IPH,470,5.295,19.95,2508.60,19/09/2016,Confirmed,
73990105,N87042404,7/09/2016,B,BAL,358,13.960,19.95,5017.63,9/09/2016,Confirmed,
73928164,N86960540,2/09/2016,S,CLH,2156,1.335,19.95,2858.31,6/09/2016,Confirmed,
73928123,N86960473,2/09/2016,S,CCV,4310,0.350,19.95,1488.55,6/09/2016,Confirmed,
73848603,N86858248,29/08/2016,B,FPH,538,9.280,19.95,5012.59,31/08/2016,Confirmed,
73848548,N86858177,29/08/2016,B,SGF,1098,4.540,19.95,5004.87,31/08/2016,Confirmed,
73752541,N86736856,23/08/2016,B,RCG,2808,1.775,19.95,5004.15,25/08/2016,Confirmed,
73752118,N86736373,23/08/2016,S,WBC,179,30.560,19.95,5450.29,25/08/2016,Confirmed,
73752067,N86736333,23/08/2016,S,NAB,189,27.610,19.95,5198.34,25/08/2016,Confirmed,
73751754,N86735954,23/08/2016,S,PTM,838,6.160,19.95,5142.13,25/08/2016,Confirmed,
73751705,N86735904,23/08/2016,S,PPT,53,47.250,19.95,2484.30,25/08/2016,Confirmed,
73287986,N86143607,25/07/2016,B,IPH,740,6.739,19.95,5006.71,27/07/2016,Confirmed,
73287645,N86143239,25/07/2016,S,BGL,4658,0.715,19.95,3310.52,27/07/2016,Confirmed,
73078388,N85871828,12/07/2016,B,OFX,1234,2.418,19.95,3003.57,14/07/2016,Confirmed,
73078266,N85871664,12/07/2016,B,EVT,205,14.580,19.95,3008.85,14/07/2016,Confirmed,
73078227,N85871606,12/07/2016,B,NCK,631,4.720,19.95,2998.27,14/07/2016,Confirmed,
