Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
,,16/01/2014,B,CTD,72,1.160,0.00,331.20,16/01/2014,Confirmed,
,,24/06/2014,S,WDC,225,1.160,0.00,2439,24/06/2014,Confirmed,
,,25/06/2014,B,SCG,281,1.160,0.00,943.60,25/06/2014,Confirmed,
,,25/06/2014,B,WFD,225,1.160,0.00,1577.03,25/06/2014,Confirmed,
,,30/12/2014,B,RFG,1478,1.160,0.00,7094.40,25/06/2014,Confirmed,
,,31/12/2014,B,CTD,66,1.160,0.00,580.80,25/06/2014,Confirmed,
,,27/05/2015,B,NAB,11,1.160,0.00,313.50,25/06/2014,Confirmed,
,,24/06/2015,S,AMM,1030,1.160,0.00,2678,25/06/2014,Confirmed,
,,09/01/2017,B,CTD,52,1.160,0.00,780,25/06/2014,Confirmed,
,,08/02/2016,B,CYB,18,1.160,0.00,73.44,25/06/2014,Confirmed,
,,08/02/2016,S,MTU,574,1.160,0.00,6985.58,25/06/2014,Confirmed,
,,13/07/2016,B,VOC,119,1.160,0.00,898.45,25/06/2014,Confirmed,
,,02/07/2015,B,RCG,7500,1.160,0.00,5250,25/06/2014,Confirmed,
,,01/07/2016,B,WEB,370,1.160,0.00,2072,25/06/2014,Confirmed,
,,29/08/2017,B,WEB,383,1.160,0.00,3830,25/06/2014,Confirmed,
,,16/05/2017,B,TPM,32,1.160,0.00,168,25/06/2014,Confirmed,
,,08/07/2015,B,VOC,475,1.160,0.00,2678,25/06/2014,Confirmed,
,,08/02/2016,B,VOC,933,1.160,0.00,7062.81,25/06/2014,Confirmed,
,,11/11/2015,B,WBC,4,1.160,0.00,102,25/06/2014,Confirmed,
,,26/11/2014,S,WES,1,1.160,0.00,40,25/06/2014,Confirmed,
