Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status,
64760129,N75361732,3/11/2014,B,TGA,961,2.598,19.95,2516.37,7/11/2014,Confirmed,
64760066,N75361670,3/11/2014,B,CLH,1213,2.060,19.95,2518.73,7/11/2014,Confirmed,
64760037,N75361644,3/11/2014,B,PPT,53,46.470,19.95,2482.86,7/11/2014,Confirmed,
64555815,N75109338,15/10/2014,B,CCV,1960,1.016,19.95,2011.14,20/10/2014,Confirmed,
64555734,N75109283,15/10/2014,B,PMV,210,9.515,19.95,2018.10,20/10/2014,Confirmed,
64555632,N75109159,15/10/2014,B,CSR,609,3.280,19.95,2017.47,20/10/2014,Confirmed,
64555620,N75109123,15/10/2014,B,AMP,385,5.190,19.95,2018.10,20/10/2014,Confirmed,
64419218,N74940851,2/10/2014,B,CBA,25,75.640,19.95,1910.95,8/10/2014,Confirmed,
63426659,N73718180,10/07/2014,B,CAR,179,11.180,19.95,2021.17,15/07/2014,Confirmed,
63426638,N73718269,10/07/2014,B,AMM,1030,1.943,19.95,2020.73,15/07/2014,Confirmed,
63426613,N73718328,10/07/2014,B,ANN,105,18.876,19.95,2001.96,15/07/2014,Confirmed,
63426453,N73718162,10/07/2014,B,GEM,440,4.540,19.95,2017.55,15/07/2014,Confirmed,
63288362,N73544972,27/06/2014,B,CCL,210,9.505,19.95,2016.00,2/07/2014,Confirmed,
63288310,N73545017,27/06/2014,B,CTD,310,6.460,19.95,2022.55,2/07/2014,Confirmed,
63288298,N73545000,27/06/2014,B,PMV,230,8.720,19.95,2025.48,2/07/2014,Confirmed,
63288286,N73544986,27/06/2014,B,VOC,425,4.730,19.95,2030.20,2/07/2014,Confirmed,
63288270,N73544963,27/06/2014,B,FXL,625,3.200,19.95,2019.95,2/07/2014,Confirmed,
63288259,N73544950,27/06/2014,B,NAB,60,33.130,19.95,2007.75,2/07/2014,Confirmed,
63288251,N73544934,27/06/2014,B,ANZ,60,33.660,19.95,2039.55,2/07/2014,Confirmed,
62762249,N72903308,6/05/2014,B,RKN,1000,1.995,19.95,2016.90,9/05/2014,Confirmed,
62736742,N72871093,2/05/2014,B,MNF,950,2.115,19.95,2030.89,7/05/2014,Confirmed,
61115490,N70881674,27/11/2013,B,CCV,2350,0.850,19.95,2019.40,2/12/2013,Confirmed,
60420904,N70033859,27/09/2013,B,RFG,450,4.400,19.95,2001.90,2/10/2013,Confirmed,
60420374,N70032771,27/09/2013,B,MTU,320,6.350,19.95,2053.90,2/10/2013,Confirmed,
60063244,N69589093,26/08/2013,B,MTU,300,6.720,19.95,2037.90,29/08/2013,Confirmed,
59395800,N68764096,25/06/2013,B,IRI,1980,1.010,19.95,2021.70,28/06/2013,Confirmed,
59395676,N68764001,25/06/2013,B,TGA,1052,1.900,19.95,2020.70,28/06/2013,Confirmed,
59293446,N68642432,17/06/2013,B,CTD,253,3.950,19.95,1021.25,20/06/2013,Confirmed,
59046695,N68349004,24/05/2013,B,CTD,230,4.290,19.95,1008.60,29/05/2013,Confirmed,
58937086,N68225324,16/05/2013,B,IRI,1850,1.093,19.95,2043.73,21/05/2013,Confirmed,
58562096,N67781703,16/04/2013,B,SRX,205,9.730,19.95,2016.55,19/04/2013,Confirmed,
58083778,N67214946,5/03/2013,B,NHF,1075,2.320,19.95,2515.90,8/03/2013,Confirmed,
58042934,N67169487,1/03/2013,B,WDC,225,11.105,19.95,2520.53,6/03/2013,Confirmed,
57987044,N67101974,26/02/2013,B,WOW,96,34.250,19.95,3309.90,1/03/2013,Confirmed,
57986988,N67101884,26/02/2013,B,TLS,720,4.595,19.95,3330.30,1/03/2013,Confirmed,
57986793,N67101605,26/02/2013,B,CBA,51,64.630,19.95,3318.03,1/03/2013,Confirmed,

